Date,Close,Open
1986-07-09,11.0,10.6875
1986-07-10,10.9375,11.0625
1986-07-11,10.5625,10.875
1986-07-14,10.25,10.625
1986-07-15,9.9375,10.1875
1986-07-16,10.125,9.9375
1986-07-17,10.1875,10.125
1986-07-18,10.25,10.1875
1986-07-21,10.25,10.25
1986-07-22,10.1875,10.25
1986-07-23,10.0625,10.25
1986-07-24,9.9375,10.0625
1986-07-25,10.0625,9.9375
1986-07-28,10.125,10.0625
1986-07-29,10.1875,10.0
1986-07-30,10.125,10.0625
1986-07-31,10.0625,10.125
1986-08-01,9.75,10.0
1986-08-04,9.75,9.8125
1986-08-05,9.5625,9.75
1986-08-06,9.125,9.5625
1986-08-07,8.375,9.0
1986-08-08,8.875,8.4375
1986-08-11,9.125,9.0
1986-08-12,9.375,9.125
1986-08-13,9.6875,9.4375
1986-08-14,9.5,9.75
1986-08-15,9.375,9.5
1986-08-18,9.6875,9.4375
1986-08-19,9.5625,9.75
1986-08-20,9.5,9.5625
1986-08-21,9.4375,9.5
1986-08-22,9.375,9.5
1986-08-25,9.25,9.5
1986-08-26,9.375,9.1875
1986-08-27,9.3125,9.375
1986-08-28,9.1875,9.3125
1986-08-29,9.125,9.125
1986-09-02,8.75,9.1875
1986-09-03,8.9375,8.75
1986-09-04,9.3125,9.0
1986-09-05,9.0,9.3125
1986-09-08,8.75,9.125
1986-09-09,8.625,8.6875
1986-09-10,8.5,8.625
1986-09-11,7.9375,8.5625
1986-09-12,7.625,7.875
1986-09-15,7.625,7.625
1986-09-16,7.4375,7.5625
1986-09-17,7.375,7.5
1986-09-18,8.75,7.375
1986-09-19,8.5625,8.75
1986-09-22,8.5,8.5625
1986-09-23,8.25,8.5625
1986-09-24,8.5,8.25
1986-09-25,8.3125,8.5
1986-09-26,8.3125,8.3125
1986-09-29,8.25,8.375
1986-09-30,8.5625,8.1875
1986-10-01,8.5625,8.6875
1986-10-02,8.5625,8.5625
1986-10-03,8.375,8.625
1986-10-06,8.4375,8.5
1986-10-07,8.4375,8.375
1986-10-08,8.625,8.5
1986-10-09,8.4375,8.625
1986-10-10,8.3125,8.4375
